I5820K,0
I6100,12800
I7100,16500
I8100,18500
I7320,22500
I6500,23500
I7400,27000
I6800K,29400
I7500,29800
I3820,30000
I6850K,32550
I6700,35500
I8500,36000
I6700K,36000
I8400,38500
I8600K,38850
I7700,43700
I9600K,44100
I7800X,52000
I7700K,56000
I8700,60000
I9900K,102000
I7900X,142000
